brand,title,scent_type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation
Britney Spears,FANTASY Britney Spears women perfume edp 3.3 oz 3.4 NEW TESTER,"Jasmine, Pear, Peach, Patchouli",18.94,US $18.94/ea,235,"235 available / 1,804 sold",1804,"May 23, 2024 06:45:25 PDT","Dallas, Texas, United States"
Jimmy Choo,JIMMY CHOO by Jimmy Choo 3.3 / 3.4 oz Spray EDT Perfume for Women Tester,"Lily of the Valley, Raspberry, Leather",24.51,US $24.51,,Last One / 601 sold,601,"May 24, 2024 07:33:35 PDT","Dallas, Texas, United States"
Lancôme,Miracle Perfume by Lancome 3.4 oz L'eau de Parfum Spray for Women NEW & SEALED,"Blackcurrant, Raspberry",32.99,US $32.99/ea,8,8 available / 238 sold,238,"May 24, 2024 05:13:26 PDT","Hamtramck, Michigan, United States"
Coach,Coach Dreams Sunset EDP 7.5ML Mini with Pouch,"Lily of the Valley, Cypress, Cardamom, Pepper, Chocolate",16.95,US $16.95,10,More than 10 available / 15 sold,15,"May 06, 2024 00:02:14 PDT","Tallman, New York, United States"
Victoria's Secret,"Victoria's Secret Bombshell - Enticing 3.4oz Perfume, Sealed in Box","Cedarwood, Coffee, Ginger, Citrus, Vetiver",33.99,US $33.99/ea,7,7 available / 149 sold,149,"May 22, 2024 08:28:50 PDT","Dearborn Heights, Michigan, United States"
Burberry,Burberry Brit by Burberry 3.3 / 3.4 oz EDT Perfume for Women New In Box,"Leather, Saffron",35.73,US $35.73/ea,557,"557 available / 2,590 sold",2590,"May 23, 2024 00:24:59 PDT","Dallas, Texas, United States"
Estee Lauder,"Sensuous by Estee Lauder, 1.7 oz EDP Spray for Women","Ginger, Rose, Vanilla, Pear, Chocolate",34.98,US $34.98/ea,10,More than 10 available / 131 sold,131,"May 24, 2024 06:41:52 PDT","Edison, New Jersey, United States"
Yves Saint Laurent,Libre By Yves Saint Laurent for Women EDT 3 oz / 90 ml *NEW IN SEALED BOX*,"Vanilla, Musk",59.96,US $59.96,4,4 available / 19 sold,19,"May 19, 2024 00:50:26 PDT","CA.San Francisco, Hong Kong"
Kilian,Angels' Share By Kilian 1.7 oz Eau de Parfum Spray Refillable 50ML NEW WITH BOX,"Leather, Peach",64.88,US $64.88/ea,5,5 available / 42 sold,42,"May 24, 2024 02:15:36 PDT"," SAN FRANCISCO, CA, USA, Hong Kong"
Lancôme,La Vie Est Belle by Lancome 3.4 oz 100 ml L'Eau De Parfum BRAND NEW SEALED BOX,"Coconut, Citrus, Chocolate, Violet, Cardamom",69.99,US $69.99/ea,9,9 available / 25 sold,25,"May 09, 2024 03:18:01 PDT","Houston, Texas, United States"
Calvin Klein,CK SHEER BEAUTY Calvin Klein women edt 3.4 oz 3.3 NEW IN BOX,"Cardamom, Orange Blossom, Patchouli",25.69,US $25.69/ea,11,11 available / 169 sold,169,"May 22, 2024 22:59:20 PDT","Dallas, Texas, United States"
Yves Saint Laurent,Yves Saint Laurent Libre Eau De Parfum EDP Spray For Women 3.0 Oz 90 ml New Seal,"Leather, Oud, Vanilla, Grapefruit, Orange Blossom",49.68,US $49.68,10,More than 10 available / 21 sold,21,"May 22, 2024 06:46:03 PDT","Houston, Texas, United States"
Giorgio Armani,My Way by Giorgio Armani 3 oz EDP Perfume for Women New In Box fast shipping,"Patchouli, Coffee, Vanilla, Orange Blossom, Oakmoss",33.92,US $33.92,10,10 available / 3 sold,3,"May 24, 2024 07:38:32 PDT","CA, China"
Donna Karan,BE DELICIOUS Perfume DKNY Donna Karan 1.0 Oz 30 ml EDP Spray Women Without Box,"Grapefruit, Raspberry, Cardamom",24.99,US $24.99/ea,10,More than 10 available / 370 sold,370,"May 15, 2024 06:49:47 PDT","Piscataway, New Jersey, United States"
Givenchy,Amarige by Givenchy EDT for Women 3.3oz  / 100ml *NEW IN SEALED BOX*,"Ginger, Pepper",49.99,US $49.99,10,More than 10 available / 174 sold,174,"Apr 15, 2024 10:19:25 PDT","Miami, Florida, United States"
Narciso Rodriguez,Narciso Rodriguez for Her EDP 3.3oz - New Sealed Sophistication,"Citrus, Oud, Violet, Cardamom",34.99,US $34.99/ea,6,6 available / 5 sold,5,"May 23, 2024 10:31:01 PDT","Flat Lick, Kentucky, United States"
ESCADA,Magnetism by Escada perfume for women EDP 2.5 oz New in Box,"Peach, Citrus, Sandalwood, Patchouli",30.45,US $30.45/ea,8,8 available / 738 sold,738,"May 24, 2024 11:04:11 PDT","Dallas, Texas, United States"
Lancôme,NEW & SEALED! Lancome Tresor In Love for Women L'Eau De Parfum Spray 2.5 oz 5D,"Grapefruit, Patchouli, Coconut, Amber, Raspberry",67.5,US $67.50,10,More than 10 available / 12 sold,12,,"Mesa, Arizona, United States"
Dolce&Gabbana,D&G DOLCE GABBANA 3 L'IMPERATRICE EDT 1.5ml Tester,"Lily, Raspberry, Oakmoss, Coffee",5.99,US $5.99,5,5 available / 3 sold,3,"May 24, 2024 10:22:12 PDT","San Francisco, California, United States"
Dossier,Dossier FRUITY ORANGE Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX,"Ginger, Cypress, Vetiver",15,US $15.00/ea,10,More than 10 available / 65 sold,65,"May 19, 2024 23:29:11 PDT","Los Angeles, California, United States"
Ariana Grande,Ariana Grande God Is A Woman Eau De Parfum,"Patchouli, Peach",15.99,US $15.99,9,9 available / 35 sold,35,"Apr 29, 2024 14:08:37 PDT","Bogota, New Jersey, United States"
Viktor & Rolf,Viktor & Rolf Flowerbomb Ruby Orchid 3.4 oz. Eau de Parfum Spray,"Lavender, Cedarwood, Amber, Clove, Lily",79.72,US $79.72/ea,10,10 available / 334 sold,334,"May 24, 2024 05:44:34 PDT","Katy, Texas, United States"
Marc Jacobs,Marc Jacobs Daisy Eau So Fresh 4.2oz Women's Eau de Toilette Brand New & Sealed,"Grapefruit, Apple, Jasmine",33.99,US $33.99/ea,3,3 available / 43 sold,43,"May 21, 2024 22:58:35 PDT","Brooklyn, New York, United States"
Dolce & Gabbana,L'Imperatrice by Dolce & Gabbana D&G 3.3 / 3.4 oz EDT Perfume for Women NIB,"Orange Blossom, Violet, Peach",39.98,US $39.98,,"Limited quantity available / 3,379 sold",3379,"May 23, 2024 18:40:58 PDT","Hackensack, New Jersey, United States"
Michael Kors,Michael Kors Sexy Amber by Michael Kors 3.4 oz EDP For Women Perfume New In Box,"Amber, Cedarwood",44.99,US $44.99/ea,10,"10 available / 1,647 sold",1647,"May 21, 2024 07:09:03 PDT","Hackensack, New Jersey, United States"
Lancôme,Idole by Lancome Eau de Parfum EDP Perfume for Women 2.5 oz New in Box,"Coffee, Cinnamon, Vetiver, Raspberry, Jasmine",44.95,US $44.95,,Last One / 14 sold,14,"May 23, 2024 00:21:14 PDT","Troy, New York, United States"
Le Labo,"Santal 33 by Le Labo, 3.4 oz EDP Spray for Unisex","Cardamom, Sandalwood, Peach, Rose, Coconut",60.37,US $60.37,10,10 available / 9 sold,9,"May 11, 2024 01:35:56 PDT"," SAN FRANCISCO, CA, USA, Hong Kong"
Burberry,Burberry Her Blossom by Burberry 3.3 oz EDP Perfume for Women New in Box,"Cardamom, Amber, Saffron",53.99,US $53.99/ea,2,2 available / 10 sold,10,"May 22, 2024 09:37:26 PDT","New York, New York, Taiwan"
Victoria's Secret,Victoria's Secret Tease Women's EDP Spray 3.4 oz 100ml New in Box,"Rose, Chocolate, Cinnamon, Cedarwood",30.99,US $30.99/ea,4,4 available / 89 sold,89,"May 18, 2024 09:56:53 PDT","Detroit, Michigan, United States"
Maison Alhambra,Delilah Perfumes EDP 3.4oz By Maison Alhambra Lattafa for Woman  Free Shipping,"Coconut, Ginger, Amber, Cypress",23.9,US $23.90,10,More than 10 available / 2 sold,2,"May 21, 2024 12:44:02 PDT","North Brunswick, New Jersey, United States"
Kilian,Good Girl Gone Bad by Kilian 1.7 oz EDP REFILLABLE Spray. New Sealed Box,"Clove, Grapefruit, Cypress, Vanilla, Coffee",99.99,US $99.99,,Last One / 20 sold,20,"May 17, 2024 04:42:34 PDT","Amigo, West Virginia, United States"
Calvin Klein,CONTRADICTION by Calvin Klein 3.4 oz EDP Perfume For Women New in Box Sealed,"Vanilla, Cedarwood",26.43,US $26.43/ea,96,"96 available / 5,314 sold",5314,"May 24, 2024 10:14:07 PDT","Dallas, Texas, United States"
Dossier,Dossier WOODY OAKMOSS Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX,"Violet, Amber",20,US $20.00/ea,2,2 available / 41 sold,41,"May 05, 2024 23:15:34 PDT","Los Angeles, California, United States"
Dolce&Gabbana,Light Blue by Dolce & Gabbana 3.3 oz / 3.4 oz 100mL EDT Spray Brand New Sealed,"Coffee, Ginger",29.95,US $29.95/ea,10,More than 10 available / 296 sold,296,"May 24, 2024 10:55:00 PDT","West Orange, New Jersey, United States"
Hollister,WAVE By Hollister California perfum for Women 3.3 / 3.4 oz EDP New Tester,"Vetiver, Rose",15.52,US $15.52/ea,26,26 available / 129 sold,129,"May 20, 2024 07:35:20 PDT","Dallas, Texas, United States"
Ralph Lauren,Ralph By Ralph Lauren EDT for Women 3.4 oz - 100 ml *NEW IN SEALED BOX*,"Grapefruit, Cardamom, Peach, Ginger",45.99,US $45.99,10,More than 10 available / 201 sold,201,"May 08, 2024 11:22:02 PDT","Miami, Florida, United States"
Ariana Grande,Cloud By Ariana Grande 3.4oz EDP Perfume Spray Fragrance for Women New in Box,"Clove, Vanilla, Saffron, Lavender, Ginger",29.99,US $29.99/ea,9,9 available / 14 sold,14,"May 23, 2024 12:18:02 PDT","Sayreville, New Jersey, United States"
Glossier,Glossier You Eau de Parfum Rollerball (0.27oz /8mL) NEW,"Cedarwood, Musk, Jasmine, Cypress",27.31,US $27.31,10,More than 10 available / 5 sold,5,,"Giddings, Texas, United States"
